Document No_,Line No_,Sell-to Customer No_,Type,No_,Location Code,Posting Date,Shipment Date,Description_x,Unit of Measure,Quantity,Unit Price,Unit Cost (LCY),Line Discount _,Line Discount Amount,Amount,Amount Including VAT,Item Category Code_x,Tipo,Buy-from Vendor No_,Expected Receipt Date,Unit Cost,Description_y,Base Unit of Measure,Item Category Code_y,Cantidad en Inventario
103001,10000,20000.0,2,1928-S,,2022-01-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103002,10000,10000.0,2,1960-S,,2022-01-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103003,10000,30000.0,2,1988-S,,2022-01-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103004,10000,50000.0,2,1968-S,,2022-01-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103005,10000,40000.0,2,1960-S,,2022-01-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103006,10000,20000.0,2,1900-S,,2022-01-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103006,20000,20000.0,2,1964-S,,2022-01-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,0.0,0.0,968.5,1171.88,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103006,30000,20000.0,2,1980-S,,2022-01-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103007,10000,10000.0,2,1896-S,,2022-01-23,2023-04-16,Escritorio ATENAS,Unidad,5.0,1005.8,784.6,0.0,0.0,5029.0,6085.09,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103007,20000,10000.0,2,1972-S,,2022-01-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103007,30000,10000.0,2,1996-S,,2022-01-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103008,10000,50000.0,2,1906-S,,2022-01-25,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,0.0,0.0,2614.8,3163.91,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103009,10000,30000.0,2,1928-S,,2022-01-26,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,0.0,0.0,386.4,386.4,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103010,10000,40000.0,2,1908-S,,2022-01-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103010,20000,40000.0,2,1920-S,,2022-01-26,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,0.0,0.0,1953.3,1953.3,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103010,30000,40000.0,2,1968-S,,2022-01-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
