timestamp,Document No_,Line No_,Buy-from Vendor No_,Type,No_,Location Code,Posting Group,Expected Receipt Date,Description,Description 2,Unit of Measure,Quantity,Direct Unit Cost,Unit Cost (LCY),VAT _,Line Discount _,Line Discount Amount,Amount,Amount Including VAT,Unit Price (LCY),Allow Invoice Disc_,Gross Weight,Net Weight,Units per Parcel,Unit Volume,Appl_-to Item Entry,Shortcut Dimension 1 Code,Shortcut Dimension 2 Code,Job No_,Indirect Cost _,Receipt No_,Receipt Line No_,Order No_,Order Line No_,Pay-to Vendor No_,Inv_ Discount Amount,Vendor Item No_,Gen_ Bus_ Posting Group,Gen_ Prod_ Posting Group,VAT Calculation Type,Transaction Type,Transport Method,Attached to Line No_,Entry Point,Area,Transaction Specification,Tax Area Code,Tax Liable,Tax Group Code,Use Tax,VAT Bus_ Posting Group,VAT Prod_ Posting Group,Blanket Order No_,Blanket Order Line No_,VAT Base Amount,Unit Cost,System-Created Entry,Line Amount,VAT Difference,VAT Identifier,IC Partner Ref_ Type,IC Partner Reference,Prepayment Line,IC Partner Code,Posting Date,IC Cross-Reference No_,Pmt_ Discount Amount,Dimension Set ID,Job Task No_,Job Line Type,Job Unit Price,Job Total Price,Job Line Amount,Job Line Discount Amount,Job Line Discount _,Job Unit Price (LCY),Job Total Price (LCY),Job Line Amount (LCY),Job Line Disc_ Amount (LCY),Job Currency Factor,Job Currency Code,Deferral Code,Prod_ Order No_,Variant Code,Bin Code,Qty_ per Unit of Measure,Unit of Measure Code,Quantity (Base),FA Posting Date,FA Posting Type,Depreciation Book Code,Salvage Value,Depr_ until FA Posting Date,Depr_ Acquisition Cost,Maintenance Code,Insurance No_,Budgeted FA No_,Duplicate in Depreciation Book,Use Duplication List,Responsibility Center,Cross-Reference No_,Unit of Measure (Cross Ref_),Cross-Reference Type,Cross-Reference Type No_,Item Category Code,Nonstock,Purchasing Code,Product Group Code,Item Reference No_,Item Reference Unit of Measure,Item Reference Type,Item Reference Type No_,Return Reason Code,Price Calculation Method,Pmt_ Disc_ Rcd_ Amount (Old),EC _,EC Difference,Routing No_,Operation No_,Work Center No_,Prod_ Order Line No_,Overhead Rate,Routing Reference No_,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
b'\x00\x00\x00\x00\x00\x04\x16\xc2',108001,10000,20000,2,1896-S,,MERCADERÍA,2022-01-01,Escritorio ATENAS,,Unidad,4.00000000000000000000,784.60000000000000000000,784.60000000000000000000,21.00000000000000000000,0E-20,0E-20,3138.40000000000000000000,3797.46000000000000000000,1005.80000000000000000000,1,39.79000000000000000000,34.60000000000000000000,0E-20,1.20000000000000000000,0,,,,0E-20,,0,,0,20000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,3138.40000000000000000000,784.60000000000000000000,0,3138.40000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,1,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,4.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,MESA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F368F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:42.653,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:42.653,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x17/',108002,10000,30000,2,1906-S,,MERCADERÍA,2022-01-01,Pedestal móvil ATENAS,,Unidad,5.00000000000000000000,339.90000000000000000000,339.90000000000000000000,0E-20,0E-20,0E-20,1699.50000000000000000000,1699.50000000000000000000,435.80000000000000000000,1,19.67000000000000000000,17.10000000000000000000,0E-20,0.26000000000000000000,0,,,,0E-20,,0,,0,30000,0E-20,,UE,MERCADERÍA,1,,,0,,,,,0,,0,UE,IVA21,,0,1699.50000000000000000000,339.90000000000000000000,0,1699.50000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,10,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,5.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,ESCRITORIO,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F468F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:43.363,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.363,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x17\x8a',108003,10000,50000,2,1908-S,,MERCADERÍA,2022-01-01,"Silla giratoria LONDRES, azul",,Unidad,3.00000000000000000000,148.90000000000000000000,148.90000000000000000000,21.00000000000000000000,0E-20,0E-20,446.70000000000000000000,540.51000000000000000000,191.00000000000000000000,1,15.99000000000000000000,13.90000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,50000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,446.70000000000000000000,148.90000000000000000000,0,446.70000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,1,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,3.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F568F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:43.540,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.540,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x17\xf6',108004,10000,40000,2,1928-S,,MERCADERÍA,2022-01-01,Lámpara ÁMSTERDAM,,Unidad,8.00000000000000000000,43.10000000000000000000,43.10000000000000000000,21.00000000000000000000,0E-20,0E-20,344.80000000000000000000,417.21000000000000000000,55.20000000000000000000,1,4.03000000000000000000,3.50000000000000000000,0E-20,0.03000000000000000000,0,,,,0E-20,,0,,0,40000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,344.80000000000000000000,43.10000000000000000000,0,344.80000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,17,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,8.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,VARIOS,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F668F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:43.707,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.707,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x18d',108005,10000,50000,2,1936-S,,MERCADERÍA,2022-01-01,"Silla invit. BERLÍN, amar.",,Unidad,10.00000000000000000000,151.10000000000000000000,151.10000000000000000000,21.00000000000000000000,0E-20,0E-20,1511.00000000000000000000,1828.31000000000000000000,193.70000000000000000000,1,9.55000000000000000000,8.30000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,50000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,1511.00000000000000000000,151.10000000000000000000,0,1511.00000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,1,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,10.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F768F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:43.847,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.847,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x18\xde',108006,10000,40000,2,1960-S,,MERCADERÍA,2022-01-01,"Silla inv. ROMA, verde",,Unidad,2.00000000000000000000,151.10000000000000000000,151.10000000000000000000,21.00000000000000000000,0E-20,0E-20,302.20000000000000000000,365.66000000000000000000,193.70000000000000000000,1,9.55000000000000000000,8.30000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,40000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,302.20000000000000000000,151.10000000000000000000,0,302.20000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,17,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,2.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F868F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:43.963,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.963,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x19W',108007,10000,10000,2,1964-S,,MERCADERÍA,2022-01-01,"TOKYO Guest Chair, blue",,Unidad,4.00000000000000000000,151.10000000000000000000,151.10000000000000000000,0E-20,0E-20,0E-20,604.40000000000000000000,604.40000000000000000000,193.70000000000000000000,1,9.55000000000000000000,8.30000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,10000,0E-20,,EXPORT.,MERCADERÍA,0,,,0,,,,,0,,0,EXPORT.,IVA21,,0,604.40000000000000000000,151.10000000000000000000,0,604.40000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,16,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,4.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,F968F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:44.080,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:44.080,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x19\xb2',108008,10000,20000,2,2000-S,,MERCADERÍA,2022-01-01,"Silla giratoria SIDNEY, verde",,Unidad,10.00000000000000000000,148.90000000000000000000,148.90000000000000000000,21.00000000000000000000,0E-20,0E-20,1489.00000000000000000000,1801.69000000000000000000,191.00000000000000000000,1,15.99000000000000000000,13.90000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,20000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,1489.00000000000000000000,148.90000000000000000000,0,1489.00000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,1,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,10.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,FA68F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:44.207,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:44.207,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x19\xfc',108009,10000,40000,2,1968-S,PRINCIPAL,MERCADERÍA,2022-01-01,"Silla giratoria MÉXICO, negra",,Unidad,2.00000000000000000000,148.90000000000000000000,148.90000000000000000000,21.00000000000000000000,0E-20,0E-20,297.80000000000000000000,360.34000000000000000000,191.00000000000000000000,1,15.99000000000000000000,13.90000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,40000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,297.80000000000000000000,148.90000000000000000000,0,297.80000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,17,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,2.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,FB68F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:44.320,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:44.320,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x1a3',108010,10000,20000,2,1968-S,ESTE,MERCADERÍA,2022-01-01,"Silla giratoria MÉXICO, negra",,Unidad,3.00000000000000000000,148.90000000000000000000,148.90000000000000000000,21.00000000000000000000,0E-20,0E-20,446.70000000000000000000,540.51000000000000000000,191.00000000000000000000,1,15.99000000000000000000,13.90000000000000000000,0E-20,0.25000000000000000000,0,,,,0E-20,,0,,0,20000,0E-20,,NAC,MERCADERÍA,0,,,0,,,,,0,,0,NAC,IVA21,,0,446.70000000000000000000,148.90000000000000000000,0,446.70000000000000000000,0E-20,IVA21,0,,0,,2022-01-01,,0E-20,1,,0,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,0E-20,,,,,,1.00000000000000000000,UDS,3.00000000000000000000,1753-01-01,0,,0E-20,0,0,,,,,0,,,,0,,SILLA,0,,,,,0,,,1,0E-20,0E-20,0E-20,,,,0,0E-20,0,FC68F39A-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:44.420,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:44.420,00000000-0000-0000-0000-000000000001
