timestamp,Entry No_,Item No_,Posting Date,Entry Type,Source No_,Document No_,Description,Location Code,Quantity,Remaining Quantity,Invoiced Quantity,Applies-to Entry,Open,Global Dimension 1 Code,Global Dimension 2 Code,Positive,Shpt_ Method Code,Source Type,Drop Shipment,Transaction Type,Transport Method,Country_Region Code,Entry_Exit Point,Document Date,External Document No_,Area,Transaction Specification,No_ Series,Document Type,Document Line No_,Order Type,Order No_,Order Line No_,Dimension Set ID,Assemble to Order,Job No_,Job Task No_,Job Purchase,Variant Code,Qty_ per Unit of Measure,Unit of Measure Code,Derived from Blanket Order,Cross-Reference No_,Originally Ordered No_,Originally Ordered Var_ Code,Out-of-Stock Substitution,Item Category Code,Nonstock,Purchasing Code,Product Group Code,Item Reference No_,Completely Invoiced,Last Invoice Date,Applied Entry to Adjust,Correction,Shipped Qty_ Not Returned,Prod_ Order Comp_ Line No_,Serial No_,Lot No_,Warranty Date,Expiration Date,Item Tracking,Package No_,Return Reason Code,Shipment Method Code,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
b'\x00\x00\x00\x00\x00\x04\x17\xc4',1,1928-S,2022-01-18,1,20000,102001,,,-3.00000000000000000000,0E-20,-3.00000000000000000000,0,0,,GRANDE,0,,1,0,,,ES,,2022-01-18,,,,V-FAC+,1,10000,0,,0,5,0,,,0,,1.00000000000000000000,UDS,0,,,,0,VARIOS,0,,,,1,2022-01-18,0,0,-3.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,3D6B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:14.697,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:43.667,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04 \xea',2,1960-S,2022-01-19,1,10000,102002,,,-4.00000000000000000000,0E-20,-4.00000000000000000000,0,0,,MEDIO,0,,1,0,,,ES,,2022-01-19,,,,V-FAC+,1,10000,0,,0,3,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-19,0,0,-4.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,576B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.057,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:46.310,00000000-0000-0000-0000-000000000001
"b'\x00\x00\x00\x00\x00\x04\x1d,'",3,1988-S,2022-01-20,1,30000,102003,"SEOUL Guest Chair, red",,-1.00000000000000000000,0E-20,-1.00000000000000000000,0,0,,MEDIO,0,,1,0,,,US,,2022-01-20,,,,V-FAC+,1,10000,0,,0,9,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-20,0,0,-1.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,716B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.190,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:45.397,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x1e\xbd',4,1968-S,2022-01-21,1,50000,102004,,,-2.00000000000000000000,0E-20,-2.00000000000000000000,0,0,,MEDIO,0,,1,0,,,ES,,2022-01-21,,,,V-FAC+,1,10000,0,,0,14,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-21,0,0,-2.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,8A6B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.367,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:45.777,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04 \xec',5,1960-S,2022-01-22,1,40000,102005,,,-2.00000000000000000000,0E-20,-2.00000000000000000000,0,0,,PEQUEÑO,0,,1,0,,,DE,,2022-01-22,,,,V-FAC+,1,10000,0,,0,12,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-22,0,0,-2.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,A46B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.487,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:46.313,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x1f:',6,1900-S,2022-01-23,1,20000,102006,,,-4.00000000000000000000,0E-20,-4.00000000000000000000,0,0,,GRANDE,0,,1,0,,,ES,,2022-01-23,,,,V-FAC+,1,10000,0,,0,5,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-23,0,0,-4.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,BD6B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.590,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:45.897,00000000-0000-0000-0000-000000000001
"b'\x00\x00\x00\x00\x00\x04""\x90'",7,1964-S,2022-01-23,1,20000,102006,,,-5.00000000000000000000,0E-20,-5.00000000000000000000,0,0,,GRANDE,0,,1,0,,,ES,,2022-01-23,,,,V-FAC+,1,20000,0,,0,5,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-23,0,0,-5.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,C76B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.607,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:46.740,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x1fi',8,1980-S,2022-01-23,1,20000,102006,,,-3.00000000000000000000,0E-20,-3.00000000000000000000,0,0,,GRANDE,0,,1,0,,,ES,,2022-01-23,,,,V-FAC+,1,30000,0,,0,5,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-23,0,0,-3.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,CF6B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.627,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:45.917,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04 k',9,1896-S,2022-01-23,1,10000,102007,,,-5.00000000000000000000,0E-20,-5.00000000000000000000,0,0,,MEDIO,0,,1,0,,,ES,,2022-01-23,,,,V-FAC+,1,10000,0,,0,3,0,,,0,,1.00000000000000000000,UDS,0,,,,0,MESA,0,,,,1,2022-01-23,0,0,-5.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,E76B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.750,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:46.177,00000000-0000-0000-0000-000000000001
b'\x00\x00\x00\x00\x00\x04\x1e@',10,1972-S,2022-01-23,1,10000,102007,,,-2.00000000000000000000,0E-20,-2.00000000000000000000,0,0,,MEDIO,0,,1,0,,,ES,,2022-01-23,,,,V-FAC+,1,20000,0,,0,3,0,,,0,,1.00000000000000000000,UDS,0,,,,0,SILLA,0,,,,1,2022-01-23,0,0,-2.00000000000000000000,0,,,1753-01-01,1753-01-01,0,,,,F16B4DA9-28DC-ED11-884E-6045BDE98C53,2023-04-16 07:31:16.763,00000000-0000-0000-0000-000000000001,2023-04-16 07:31:45.660,00000000-0000-0000-0000-000000000001
